"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.915131625E0,-3.268153254E0,9.496845934E0,3.009077747E0,1.048453419E1
2.925205625E0,-3.059974251E0,9.547424349E0,3.134014034E0,1.050422763E1
2.935278625E0,-2.863427113E0,9.589870457E0,3.144382609E0,1.049056587E1
2.945352625E0,-2.666402843E0,9.652453206E0,3.160402226E0,1.050084279E1
2.955425625E0,-2.493080554E0,9.741336147E0,3.125492010E0,1.052985189E1
2.965498625E0,-2.314982551E0,9.817400236E0,3.136036294E0,1.056291699E1
2.975572625E0,-2.097275656E0,9.845756893E0,3.181247258E0,1.055735895E1
2.985645625E0,-1.936010325E0,9.910766237E0,3.178605193E0,1.058654591E1
2.995719625E0,-1.752816035E0,9.908642528E0,3.124875129E0,1.053652720E1
3.005792625E0,-1.595773272E0,9.940465415E0,3.132220986E0,1.054372578E1
3.015866625E0,-1.493894894E0,9.959157794E0,3.092897583E0,1.053482612E1
3.025939625E0,-1.399792291E0,9.926792285E0,2.984303971E0,1.045976547E1
3.036012625E0,-1.349209051E0,9.762656849E0,2.951500214E0,1.028791463E1
3.046086625E0,-1.330419609E0,9.448190083E0,2.953861612E0,9.988173537E0
3.056159625E0,-1.268594074E0,9.111171775E0,2.797416726E0,9.615005064E0
3.066233625E0,-1.288506474E0,6.948275011E0,-5.946548152E0,9.235811252E0
3.076306625E0,-1.589022223E0,3.901412557E0,-1.760219604E1,1.809926289E1
3.086380625E0,-2.777647290E0,-8.775963181E-1,-1.599335103E1,1.625646877E1
3.096453625E0,-2.743511830E0,-2.811281059E0,-1.124701640E1,1.191325045E1
3.106527625E0,-1.874077348E0,-1.667237649E0,-4.242985260E0,4.928972632E0
3.116600625E0,-1.078429319E0,-2.730834482E0,-1.187727374E-1,2.938464518E0
3.126673625E0,2.951572135E-1,-8.431127146E0,-4.610307348E-1,8.448879930E0
3.136747625E0,2.083341010E-1,-1.691383726E1,-2.305242844E0,1.707148027E1
3.146820625E0,1.355741707E0,-2.613936479E1,1.814598593E-1,2.617512855E1
3.156894625E0,2.317139589E0,-3.034523192E1,7.128664538E0,3.125732065E1
3.166967625E0,3.811661890E0,-3.312723656E1,7.221052884E0,3.411870708E1
3.177041625E0,6.011253440E0,-3.639926827E1,3.022592416E-1,3.689353953E1
3.187114625E0,8.045833642E0,-3.363007605E1,-3.685377527E0,3.477498328E1
3.197187625E0,6.833052703E0,-2.236705466E1,-2.298010715E0,2.350014035E1
3.207261625E0,4.298870609E0,-1.254847562E1,4.996942788E-2,1.326450248E1
3.217334625E0,2.582897587E0,-6.007990694E0,8.817639211E-1,6.598849880E0
3.227408625E0,1.334181415E0,-1.384138271E0,2.325858665E-1,1.936485215E0
3.237481625E0,7.829769668E-1,1.968534147E0,-5.823335624E-1,2.197109919E0
